,Topic,ID,FunctionValue,Label
49,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Unterländer Str."",""housenumber"":""70"",""city"":""Stuttgart"",""zipCode"":""70435"",""poiName"":""<span class=\""text-highlight\"">dm&#8205;</span>-<span class=\""text-highlight\"">&#8205;drogerie</span> <span class=\""text-highlight\"">markt</span>"",""country"":""Deutschland}}",navi/Start/Address
23,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""<span class=\""text-highlight\"">Hamburg</span>"",""countryAbbreviation"":""D"",""city"":""<span class=\""text-highlight\"">Hamburg</span>"",""zipCode"":""20354"",""country"":""Deutschland}}",navi/Start/Address
10,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Heidestraße 53, Stuttgart",navi/Start/Address
194,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Im Birkenwald 32, Stuttgart",navi/Start/Address
1197,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': [], 'uri': 'rudi:/navi$/locations/eb3751f5-b105-441d-847c-f1f5894fda8d', 'state': 'Baden-Württemberg', 'id': 'eb3751f5-b105-441d-847c-f1f5894fda8d', 'countryAbbreviation': 'D', 'street': 'Urbanstaffel', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Bietigheim-Bissingen', 'coordinates': {'latitude': 584155101.0, 'latitudeDegree': 48.963314, 'longitude': 108914233.0, 'longitudeDegree': 9.12908}}",navi/Start/Address
926,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': [], 'uri': 'rudi:/navi$/locations/1d2cd168-1357-405f-b0b0-b5c8d387f4a0', 'state': 'Bayern', 'id': '1d2cd168-1357-405f-b0b0-b5c8d387f4a0', 'countryAbbreviation': 'D', 'street': 'Singoldanger', 'stateAbbreviation': 'BY', 'name': '', 'city': 'Bobingen', 'coordinates': {'latitude': 575955293.0, 'latitudeDegree': 48.276016, 'longitude': 129257848.0, 'longitudeDegree': 10.83426}}",navi/Start/Address
530,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""city"":""<span class=\""text-highlight\"">Metzingen</span>"",""zipCode"":""72555"",""country"":""Deutschland}}",navi/Start/Address
1081,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': [], 'uri': 'rudi:/navi$/locations/1c87cdba-783e-4c1b-a4d7-8a2f1672fb7e', 'state': 'Baden-Württemberg', 'id': '1c87cdba-783e-4c1b-a4d7-8a2f1672fb7e', 'countryAbbreviation': 'D', 'street': 'Urbanstaffel', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Bietigheim-Bissingen', 'coordinates': {'latitude': 584155101.0, 'latitudeDegree': 48.963314, 'longitude': 108914233.0, 'longitudeDegree': 9.12908}}",navi/Start/Address
1516,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""D"",""street"":""A 8 8"",""city"":""Holzkirchen"",""zipCode"":""83607"",""poiName"":""IONITY Rastanlage Holzkirchen Süd (350kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""IONITY Rastanlage Holzkirchen Süd (350kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
1512,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Salzburg"",""countryAbbreviation"":""A"",""street"":""<span class=\""text-highlight\"">Vordermuhr</span>"",""housenumber"":""<span class=\""text-highlight\"">48</span>"",""city"":""Muhr"",""zipCode"":""5583"",""country"":""Österreich}}",navi/Start/Address
1492,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Bayern"",""countryAbbreviation"":""D"",""street"":""Winterbruckenweg"",""housenumber"":""66"",""city"":""Friedberg"",""zipCode"":""86316"",""cityPart"":""Derching"",""poiName"":""IONITY Winterbruckenweg (350kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""IONITY Winterbruckenweg (350kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
1486,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Rastanlage-Ost 3"",""city"":""Giengen an der Brenz"",""zipCode"":""89537"",""poiName"":""IONITY A7 Raststätte Lonetal Ost (350kW)"",""poiCategoryName"":""HPC Laden"",""poiCategory"":""HPC Laden"",""poiNameCategory"":""IONITY A7 Raststätte Lonetal Ost (350kW) (HPC Laden)}}",navi/Start/Address
1480,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""D"",""street"":""Mühlhauser Straße 51c"",""city"":""Augsburg"",""zipCode"":""86169"",""poiName"":""E.ON Raststätte Augsburg Ost DC (50kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""E.ON Raststätte Augsburg Ost DC (50kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
1476,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': [], 'uri': 'rudi:/navi$/locations/6abb906f-d95c-44dd-a859-09e3e7c49304', 'state': 'Salzburg', 'id': '6abb906f-d95c-44dd-a859-09e3e7c49304', 'countryAbbreviation': 'A', 'name': '', 'city': 'Muhr', 'coordinates': {'latitude': 561915786.0, 'latitudeDegree': 47.099236, 'longitude': 161033823.0, 'longitudeDegree': 13.49769}}",navi/Start/Address
1474,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Salzburg"",""countryAbbreviation"":""A"",""city"":""<span class=\""text-highlight\"">Muhr</span>"",""zipCode"":""5583"",""country"":""<span class=\""text-highlight\"">Österreich</span>}}",navi/Start/Address
1400,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Trentino-Südtirol"",""countryAbbreviation"":""I"",""street"":""San Pietro"",""city"":""Ahrntal"",""zipCode"":""39030"",""poiName"":""<span class=\""text-highlight\"">Obergruberhof</span>"",""country"":""Italien}}",navi/Start/Address
1397,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Trentino-Alto Adige"",""countryAbbreviation"":""I"",""street"":""Tauferer Str."",""housenumber"":""23"",""city"":""Mühlen in Taufers"",""zipCode"":""39032"",""poiName"":""MPreis"",""country"":""Italien}}",navi/Start/Address
1381,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': ['POICATEGORY_CHARGINGSTATION'], 'uri': 'rudi:/navi$/locations/67842702-1248-4ac9-bb09-afad6cdbc395', 'id': '67842702-1248-4ac9-bb09-afad6cdbc395', 'providerId': 'Porsche', 'countryAbbreviation': 'A', 'street': 'An Der Fernpaßbundesstraße 1', 'name': '', 'poiId': 'eb4427ae-dfb2-407c-9922-447ba3a12c1f', 'city': 'Nassereith', 'coordinates': {'latitude': 564638970.0, 'latitudeDegree': 47.32749, 'longitude': 129078397.0, 'longitudeDegree': 10.81922}}",navi/Start/Address
