;label;id;fnvalue
39;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/475c0b76-f30f-4ba0-b50c-2d28afb39abe', 'state': 'Baden-Württemberg', 'id': '475c0b76-f30f-4ba0-b50c-2d28afb39abe', 'countryAbbreviation': 'D', 'street': 'Ginsterweg', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Stuttgart', 'coordinates': {'latitude': 581872221.0, 'latitudeDegree': 48.771965, 'longitude': 109852793.0, 'longitudeDegree': 9.20775}}
40;navi/Start/Address';/navi/onDestinationSelect';{'poiType': ['POICATEGORY_CHARGINGSTATIONHPC'], 'uri': 'rudi:/navi$/locations/d1e3dc95-37ff-4938-acf2-e7d491dba623', 'id': 'd1e3dc95-37ff-4938-acf2-e7d491dba623', 'providerId': 'Porsche', 'countryAbbreviation': 'D', 'street': 'Schelmenwasenstr. 15', 'name': '', 'poiId': '3mUvLk1lN2JUaYh+4lDVJQ==', 'city': 'Stuttgart', 'coordinates': {'latitude': 581171913.0, 'latitudeDegree': 48.71327, 'longitude': 109364057.0, 'longitudeDegree': 9.16678}}
41;navi/Start/Address';/navi/onDestinationSelect';{'poiType': ['POICATEGORY_CHARGINGSTATIONHPC'], 'uri': 'rudi:/navi$/locations/cccf29fd-7745-4d0f-9f39-cff7bac34009', 'id': 'cccf29fd-7745-4d0f-9f39-cff7bac34009', 'providerId': 'Porsche', 'countryAbbreviation': 'D', 'street': 'Schelmenwasenstr. 15', 'name': '', 'poiId': '3mUvLk1lN2JUaYh+4lDVJQ==', 'city': 'Stuttgart', 'coordinates': {'latitude': 581171913.0, 'latitudeDegree': 48.71327, 'longitude': 109364057.0, 'longitudeDegree': 9.16678}}
42;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/0ba80040-892e-4c51-b7ab-95bdf30efb58', 'state': 'Baden-Württemberg', 'id': '0ba80040-892e-4c51-b7ab-95bdf30efb58', 'street': 'Porschestraße', 'name': '', 'city': 'Stuttgart', 'coordinates': {'latitude': 582651221.0, 'latitudeDegree': 48.83726, 'longitude': 109245474.0, 'longitudeDegree': 9.1568}}
43;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Breslauer Str."",""housenumber"":""43"",""city"":""<span class=\""text-highlight\"">Leonberg</span>"",""zipCode"":""71229"",""poiName"":""Eiscafé Flora"",""country"":""Deutschland}}"
44;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Tilgshäuslesweg"",""housenumber"":""2"",""city"":""Leonberg"",""zipCode"":""71229"",""poiName"":""Reit- & Fahrverein Leonberg"",""country"":""Deutschland}}"
46;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Heiligenwiesen"",""housenumber"":""18"",""city"":""Stuttgart"",""zipCode"":""70327"",""poiName"":""Circus Circuli"",""country"":""Deutschland}}"
47;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">In</span> <span class=\""text-highlight\"">den</span> <span class=\""text-highlight\"">Wannenäckern</span>"",""housenumber"":""<span class=\""text-highlight\"">27</span>"",""city"":""<span class=\""text-highlight\"">Stuttgart</span>"",""zipCode"":""70374"",""poiName"":""<span class=\""text-highlight\"">In</span> <span class=\""text-highlight\"">den</span> <span class=\""text-highlight\"">Wannenäckern</span> <span class=\""text-highlight\"">27</span>"",""country"":""Deutschland}}"
48;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">In</span> <span class=\""text-highlight\"">den</span> <span class=\""text-highlight\"">Wannenäckern</span>"",""housenumber"":""<span class=\""text-highlight\"">27</span>"",""city"":""<span class=\""text-highlight\"">S&#8205</span>tuttgart"""",""""zipCode"""":""""70374"""",""""poiName"""":""""<span class=\""""text-highlight\"""">In</span> <span class=\""""text-highlight\"""">den</span> <span class=\""""text-highlight\"""">Wannenäckern</span> <span class=\""""text-highlight\"""">27</span>"""",""""country"""":""""Deutschland}}"""
49;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/c36772b7-d118-4c55-809f-2c9b5e4c78a9', 'state': 'Baden-Württemberg', 'id': 'c36772b7-d118-4c55-809f-2c9b5e4c78a9', 'countryAbbreviation': 'D', 'street': 'Ginsterweg', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Stuttgart', 'coordinates': {'latitude': 581872221.0, 'latitudeDegree': 48.771965, 'longitude': 109852793.0, 'longitudeDegree': 9.20775}}
